Implementation,MessageSize,ThreadCount,CPUCycles,L1Misses,LLCLoadMisses,ContextSwitches,Throughput_Gbps,Latency_us
A1,1024,1,2.00956e+11,730276982,7555,101,5.02,1.87
A1,1024,2,3.35558e+11,1431338741,11902,140,10.73,0.84
A1,1024,4,6.02465e+11,2.92777e+09,8439,266,23.19,0.36
A1,1024,8,7.81297e+11,1266532148,12889784,68562,69.34,0.12
A1,4096,1,1.52937e+11,1133596728,3955,110,13.70,3.07
A1,4096,2,3.05383e+11,2.18368e+09,7176,145,27.24,1.52
A1,4096,4,5.51543e+11,4.36746e+09,58615,10363,88.21,0.37
A1,4096,8,7.96506e+11,3.30761e+09,23624423,95773,137.06,0.24
A1,16384,1,1.26029e+11,4.0379e+09,3791,68,39.69,3.60
A1,16384,2,3.08599e+11,8.31238e+09,18727,150,82.83,1.76
A1,16384,4,6.22669e+11,1.66708e+10,40187,283,169.52,0.80
A1,16384,8,8.15041e+11,1.06679e+10,30826039,133817,181.12,0.72
A1,65536,1,1.26443e+11,6.18139e+09,5203,119,73.41,7.14
A1,65536,2,3.21073e+11,1.33084e+10,14083,132,151.97,3.50
A1,65536,4,5.5111e+11,2.31069e+10,34459,333,270.86,2.00
A1,65536,8,9.16508e+11,1.87284e+10,61396193,111475,235.38,2.23
A2,1024,1,1.53383e+11,853711094,3213,57,5.42,1.56
A2,1024,2,2.78477e+11,1469004461,12324,334,9.66,0.90
A2,1024,4,5.41882e+11,1931598578,507967,43964,31.77,0.26
A2,1024,8,7.76887e+11,1109244428,8805724,69296,48.61,0.17
A2,4096,1,1.8947e+11,994002653,12332,86,12.12,3.01
A2,4096,2,2.78394e+11,1959205828,5830,107,23.80,1.56
A2,4096,4,5.07242e+11,3.53302e+09,14967,223,43.81,0.79
A2,4096,8,8.10492e+11,2.69005e+09,21186417,67680,108.46,0.30
A2,16384,1,1.26866e+11,3.6643e+09,7938,59,34.64,4.14
A2,16384,2,3.32616e+11,7.53507e+09,77970,319,72.56,2.01
A2,16384,4,5.54598e+11,1.61949e+10,36901,232,158.93,0.84
A2,16384,8,7.72823e+11,9.9644e+09,27737470,143254,164.22,0.80
A2,65536,1,1.53518e+11,7.03483e+09,9053,81,80.33,6.55
A2,65536,2,4.03078e+11,1.27756e+10,18860,125,153.39,3.42
A2,65536,4,5.7167e+11,2.28121e+10,43331,325,271.81,1.94
A2,65536,8,9.21375e+11,1.8555e+10,62169607,100367,230.93,2.27
A3,1024,1,1.52667e+11,853576562,9409,23132,3.54,3.16
A3,1024,2,4.13571e+11,1582583412,31551,238710,6.36,1.72
A3,1024,4,8.607e+11,3.04353e+09,81690,3556699,10.31,1.05
A3,1024,8,1.5497e+12,8.0448e+09,420406,6073883,13.72,0.72
A3,4096,1,1.52965e+11,841232094,4518,169,8.52,3.94
A3,4096,2,2.83079e+11,1654321473,12185,427,15.83,2.18
A3,4096,4,6.28068e+11,2.4918e+09,66608,1102,28.44,2.02
A3,4096,8,1.72417e+12,8.55506e+09,514769,196815,53.25,0.67
A3,16384,1,2.56072e+11,3.40077e+09,7356,142,27.26,4.81
A3,16384,2,3.03488e+11,6.63742e+09,14559,292,53.73,2.44
A3,16384,4,6.63869e+11,1.00333e+10,59056,1307,87.68,1.54
A3,16384,8,1.10755e+12,1.27672e+10,17637240,325285,130.60,1.01
A3,65536,1,1.46982e+11,5.49565e+09,16316,106,57.04,13.04
A3,65536,2,2.79015e+11,1.06502e+10,24281,282,109.42,6.05
A3,65536,4,5.38633e+11,1.89073e+10,47276,545,197.02,3.05
A3,65536,8,6.79995e+11,1.02985e+10,32048232,410562,157.45,3.34
