Implementation,MessageSize,ThreadCount,CPUCycles,L1Misses,LLCLoadMisses,ContextSwitches,Throughput_Gbps,Latency_us
A1,1024,1,1.63328e+11,764889758,13392,106,5.17,1.81
A1,1024,2,3.00433e+11,1544139014,31182,343,10.09,0.91
A1,1024,4,5.26272e+11,2.36165e+09,75418,34668,33.43,0.25
A1,1024,8,8.19155e+11,1290707952,9373494,65115,75.99,0.11
A1,4096,1,2.00129e+11,1072220503,27943,329,11.87,3.49
A1,4096,2,2.76571e+11,1946482395,56396,322,22.18,1.95
A1,4096,4,4.56595e+11,3.70671e+09,18251,239,44.46,0.82
A1,4096,8,8.42621e+11,3.67259e+09,20058713,74276,133.98,0.24
A1,16384,1,1.26429e+11,4.03921e+09,15168,313,38.93,3.86
A1,16384,2,5.17794e+11,8.78305e+09,65889,397,85.30,1.71
A1,16384,4,5.69851e+11,1.53081e+10,67638,321,156.73,0.90
A1,16384,8,8.42572e+11,1.15135e+10,27118951,130205,190.35,0.69
A1,65536,1,1.31464e+11,6.07892e+09,20513,89,72.06,7.28
A1,65536,2,2.78421e+11,1.24704e+10,25272,261,148.73,3.53
A1,65536,4,5.82564e+11,2.22575e+10,82383,350,261.41,2.04
A1,65536,8,9.10293e+11,1.92434e+10,56848219,126286,239.70,2.19
A2,1024,1,2.14145e+11,722101387,10268,67,4.42,2.08
A2,1024,2,3.57242e+11,1613035694,36896,323,10.31,0.85
A2,1024,4,5.32704e+11,2.53222e+09,71399,19661,24.40,0.34
A2,1024,8,8.94385e+11,1361833234,8751754,43862,57.41,0.14
A2,4096,1,1.53162e+11,1137129996,6129,66,13.03,2.94
A2,4096,2,2.78461e+11,2094796042,12548,149,23.19,1.72
A2,4096,4,5.89338e+11,4.38023e+09,17223,253,49.92,0.73
A2,4096,8,9.39133e+11,3.24565e+09,21002953,64057,124.31,0.26
A2,16384,1,1.65582e+11,4.31447e+09,50411,186,41.19,3.51
A2,16384,2,3.11272e+11,8.0901e+09,55474,652,77.06,1.93
A2,16384,4,5.67917e+11,1.33346e+10,41434,247,131.48,1.09
A2,16384,8,7.59159e+11,1.02978e+10,27080419,117421,166.23,0.79
A2,65536,1,1.27748e+11,6.15682e+09,8766,120,72.79,7.20
A2,65536,2,5.35037e+11,1.33041e+10,107481,471,157.01,3.34
A2,65536,4,6.7262e+11,2.47465e+10,130549,732,287.61,1.85
A2,65536,8,8.20105e+11,1.55463e+10,46828943,160342,203.80,2.57
A3,1024,1,2.68733e+11,954936880,74074,10575,3.59,3.30
A3,1024,2,5.34278e+11,1805750394,174517,176750,6.98,1.65
A3,1024,4,9.46116e+11,3.30145e+09,188131,2423110,11.69,0.94
A3,1024,8,1.61302e+12,8.69926e+09,338959,6332904,14.62,0.68
A3,4096,1,2.76379e+11,911894783,3289,421,8.78,3.75
A3,4096,2,5.48216e+11,1984516985,6867,373,17.17,1.98
A3,4096,4,1.04872e+12,3.2464e+09,42386,941,31.33,1.85
A3,4096,8,1.75412e+12,8.5761e+09,437716,157536,58.68,0.60
A3,16384,1,2.72866e+11,3.39965e+09,5395,119,27.17,4.82
A3,16384,2,5.24484e+11,6.47166e+09,10247,218,52.05,2.52
A3,16384,4,1.02533e+12,1.18083e+10,74779,1006,101.90,1.33
A3,16384,8,1.25668e+12,1.4629e+10,17185615,367307,148.76,0.89
A3,65536,1,2.71084e+11,5.62775e+09,12393,118,57.77,11.39
A3,65536,2,2.79184e+11,1.07065e+10,18421,170,110.03,5.73
A3,65536,4,1.00499e+12,1.92822e+10,49388,503,199.93,3.00
A3,65536,8,6.93425e+11,1.05773e+10,31844339,431479,162.66,3.24
